tool	raw_label	n_hits	canonical	conf	uncertain	mapped	depth
rm2	Simple_repeat	179894	repeat:tandem:simple	high	False	True	3
rm2	LINE/L2	132702	repeat:TE:ClassI:LINE:Jockey	medium	False	True	5
rm2	Unknown	889737	repeat	high	False	True	1
rm2	LINE/RTE-X	62187	repeat:TE:ClassI:LINE:RTE	high	False	True	5
rm2	LINE/L1	36683	repeat:TE:ClassI:LINE:L1	high	False	True	5
rm2	LINE/Rex-Babar	52471	repeat:TE:ClassI:LINE:RTE	medium	False	True	5
rm2	LTR/ERV1	3746	repeat:TE:ClassI:LTR:ERV	high	False	True	5
rm2	PLE/Chlamys	1109	repeat:TE:ClassI:PLE	high	False	True	4
rm2	DNA/hAT	7236	repeat:TE:ClassII:TIR:hAT	high	False	True	5
rm2	DNA/TcMar-Tc1	115035	repeat:TE:ClassII:TIR:Tc1Mariner	high	False	True	5
rm2	LTR/Unknown	63416	repeat:TE:ClassI:LTR	high	False	True	4
rm2	LTR/Gypsy	27365	repeat:TE:ClassI:LTR:Gypsy	high	False	True	5
rm2	DNA/hAT-Charlie	60742	repeat:TE:ClassII:TIR:hAT	high	False	True	5
rm2	SINE/5S-Deu-L2	58923	repeat:TE:ClassI:SINE:5S	high	False	True	5
rm2	LINE/RTE-BovB	88837	repeat:TE:ClassI:LINE:RTE	high	False	True	5
rm2	DNA/hAT-Ac	123859	repeat:TE:ClassII:TIR:hAT	high	False	True	5
rm2	RC/Helitron	62562	repeat:TE:ClassII:Helitron	high	False	True	4
rm2	SINE/ID	1407	repeat:TE:ClassI:SINE:tRNA	medium	False	True	5
rm2	PLE	14290	repeat:TE:ClassI:PLE	high	False	True	4
rm2	Satellite	13438	repeat:tandem:satellite	high	False	True	3
rm2	Low_complexity	21906	repeat:tandem:lowcomplexity	high	False	True	3
rm2	DNA/Crypton-V	19875	repeat:TE:ClassII:Crypton	high	False	True	4
rm2	DNA	13435	repeat:TE:ClassII	high	False	True	3
rm2	LTR/Ngaro	63285	repeat:TE:ClassI:DIRS	medium	False	True	4
rm2	DNA/P	6159	repeat:TE:ClassII:TIR:PElement	medium	False	True	5
rm2	LINE/Penelope	5003	repeat:TE:ClassI:PLE	medium	False	True	4
rm2	DNA/hAT-hAT5	14900	repeat:TE:ClassII:TIR:hAT	high	False	True	5
rm2	DNA/PIF-Harbinger	14440	repeat:TE:ClassII:TIR:PIFHarbinger	high	False	True	5
rm2	DNA/hAT-Blackjack	7317	repeat:TE:ClassII:TIR:hAT	high	False	True	5
rm2	DNA/Crypton-H	1458	repeat:TE:ClassII:Crypton	high	False	True	4
rm2	DNA/Academ-1	2590	repeat:TE:ClassII:TIR:Academ	medium	False	True	5
rm2	DNA/hAT-Tip100	15021	repeat:TE:ClassII:TIR:hAT	high	False	True	5
rm2	DNA/TcMar-Mariner	8991	repeat:TE:ClassII:TIR:Tc1Mariner	high	False	True	5
rm2	DNA/hAT-hAT6	5434	repeat:TE:ClassII:TIR:hAT	high	False	True	5
rm2	DNA/PiggyBac	1293	repeat:TE:ClassII:TIR:PiggyBac	high	False	True	5
rm2	LTR/DIRS	744	repeat:TE:ClassI:DIRS	medium	False	True	4
rm2	LTR/Pao	6423	repeat:TE:ClassI:LTR:BelPao	high	False	True	5
rm2	DNA/Kolobok-T2	3010	repeat:TE:ClassII:TIR:Kolobok	high	False	True	5
rm2	SINE/tRNA	4340	repeat:TE:ClassI:SINE:tRNA	high	False	True	5
rm2	DNA/TcMar	1178	repeat:TE:ClassII:TIR:Tc1Mariner	high	False	True	5
rm2	DNA/CMC-EnSpm	4010	repeat:TE:ClassII:TIR:CACTA	high	False	True	5
rm2	LINE/Dong-R4	6333	repeat:TE:ClassI:LINE:R2	medium	False	True	5
rm2	DNA/TcMar-Tc2	6479	repeat:TE:ClassII:TIR:Tc1Mariner	high	False	True	5
rm2	DNA/IS3EU	1806	repeat:TE:ClassII:TIR	low	False	True	4
rm2	Retroposon	558	repeat:TE:ClassI	low	False	True	3
rm2	LINE/Proto2	1014	repeat:TE:ClassI:LINE	low	False	True	4
rm2	DNA/MULE-MuDR	2450	repeat:TE:ClassII:TIR:Mutator	high	False	True	5
rm2	SINE/5S	3563	repeat:TE:ClassI:SINE:5S	high	False	True	5
rm2	DNA/PIF-ISL2EU	3371	repeat:TE:ClassII:TIR:PIFHarbinger	medium	False	True	5
rm2	DNA/TcMar-Tigger	4249	repeat:TE:ClassII:TIR:Tc1Mariner	high	False	True	5
rm2	LINE/I	670	repeat:TE:ClassI:LINE:I	high	False	True	5
rm2	DNA/Maverick	1962	repeat:TE:ClassII:Maverick	high	False	True	4
rm2	LINE/L1-Tx1	4250	repeat:TE:ClassI:LINE:L1	medium	False	True	5
rm2	SINE/tRNA-Meta	2055	repeat:TE:ClassI:SINE:tRNA	high	False	True	5
rm2	LINE/CR1-Zenon	753	repeat:TE:ClassI:LINE:Jockey	medium	False	True	5
rm2	SINE/MIR	1866	repeat:TE:ClassI:SINE:tRNA	high	False	True	5
rm2	LTR/Copia	2057	repeat:TE:ClassI:LTR:Copia	high	False	True	5
rm2	rRNA	1461	repeat:multigene:rRNA	high	False	True	3
rm2	DNA/hAT-Tag1	2091	repeat:TE:ClassII:TIR:hAT	high	False	True	5
rm2	DNA/Merlin	2054	repeat:TE:ClassII:TIR:Merlin	high	False	True	5
rm2	DNA/hAT-hATm	612	repeat:TE:ClassII:TIR:hAT	high	False	True	5
rm2	DNA/Crypton-A	962	repeat:TE:ClassII:Crypton	high	False	True	4
rm2	snRNA	261	repeat:multigene:snRNA	high	False	True	3
rm2	LINE	993	repeat:TE:ClassI:LINE	high	False	True	4
rm2	RNA	995	repeat:multigene	medium	False	True	2
rm2	DNA/Ginger-1	277	repeat:TE:ClassII:TIR:Ginger	medium	False	True	5
rm2	LINE/R2-Hero	239	repeat:TE:ClassI:LINE:R2	medium	False	True	5
rm2	DNA/TcMar-Fot1	867	repeat:TE:ClassII:TIR:Tc1Mariner	high	False	True	5
rm2	DNA/Sola-1	439	repeat:TE:ClassII:TIR:Sola	medium	False	True	5
rm2	tRNA	1282	repeat:multigene:tRNA	high	False	True	3
rm2	LTR	273	repeat:TE:ClassI:LTR	high	False	True	4
rm2	SINE/tRNA-V-RTE	361	repeat:TE:ClassI:SINE:tRNA	high	False	True	5
rm2	DNA/hAT-hobo	87	repeat:TE:ClassII:TIR:hAT	high	False	True	5
