# genbank	assembly	ncbi	ucsc
CATOHO010000001.1	SUPER_1_unloc_1		chr1_CATOHO010000001v1_random
CATOHO010000002.1	SUPER_10_unloc_1		chr10_CATOHO010000002v1_random
CATOHO010000003.1	SUPER_10_unloc_2		chr10_CATOHO010000003v1_random
CATOHO010000004.1	SUPER_10_unloc_3		chr10_CATOHO010000004v1_random
CATOHO010000005.1	SCAFFOLD_48		chrUn_CATOHO010000005v1
CATOHO010000006.1	SCAFFOLD_136		chrUn_CATOHO010000006v1
CATOHO010000007.1	SCAFFOLD_83		chrUn_CATOHO010000007v1
CATOHO010000008.1	SCAFFOLD_220		chrUn_CATOHO010000008v1
CATOHO010000009.1	SCAFFOLD_180		chrUn_CATOHO010000009v1
CATOHO010000010.1	SCAFFOLD_171		chrUn_CATOHO010000010v1
CATOHO010000011.1	SCAFFOLD_74		chrUn_CATOHO010000011v1
CATOHO010000012.1	SCAFFOLD_246		chrUn_CATOHO010000012v1
CATOHO010000013.1	SCAFFOLD_266		chrUn_CATOHO010000013v1
CATOHO010000014.1	SCAFFOLD_309		chrUn_CATOHO010000014v1
CATOHO010000015.1	SCAFFOLD_211		chrUn_CATOHO010000015v1
CATOHO010000016.1	SCAFFOLD_299		chrUn_CATOHO010000016v1
CATOHO010000017.1	SCAFFOLD_98		chrUn_CATOHO010000017v1
CATOHO010000018.1	SCAFFOLD_334		chrUn_CATOHO010000018v1
CATOHO010000019.1	SCAFFOLD_229		chrUn_CATOHO010000019v1
CATOHO010000020.1	SCAFFOLD_156		chrUn_CATOHO010000020v1
CATOHO010000021.1	SCAFFOLD_332		chrUn_CATOHO010000021v1
CATOHO010000022.1	SCAFFOLD_189		chrUn_CATOHO010000022v1
CATOHO010000023.1	SCAFFOLD_333		chrUn_CATOHO010000023v1
CATOHO010000024.1	SCAFFOLD_300		chrUn_CATOHO010000024v1
CATOHO010000025.1	SCAFFOLD_290		chrUn_CATOHO010000025v1
CATOHO010000026.1	SCAFFOLD_115		chrUn_CATOHO010000026v1
CATOHO010000027.1	SCAFFOLD_177		chrUn_CATOHO010000027v1
CATOHO010000028.1	SCAFFOLD_169		chrUn_CATOHO010000028v1
CATOHO010000029.1	SCAFFOLD_149		chrUn_CATOHO010000029v1
CATOHO010000030.1	SCAFFOLD_323		chrUn_CATOHO010000030v1
CATOHO010000031.1	SCAFFOLD_31		chrUn_CATOHO010000031v1
CATOHO010000032.1	SCAFFOLD_107		chrUn_CATOHO010000032v1
CATOHO010000033.1	SCAFFOLD_196		chrUn_CATOHO010000033v1
CATOHO010000034.1	SCAFFOLD_275		chrUn_CATOHO010000034v1
CATOHO010000035.1	SCAFFOLD_316		chrUn_CATOHO010000035v1
CATOHO010000036.1	SCAFFOLD_328		chrUn_CATOHO010000036v1
CATOHO010000037.1	SCAFFOLD_324		chrUn_CATOHO010000037v1
CATOHO010000038.1	SCAFFOLD_217		chrUn_CATOHO010000038v1
CATOHO010000039.1	SCAFFOLD_205		chrUn_CATOHO010000039v1
CATOHO010000040.1	SCAFFOLD_322		chrUn_CATOHO010000040v1
CATOHO010000041.1	SCAFFOLD_61		chrUn_CATOHO010000041v1
CATOHO010000042.1	SCAFFOLD_250		chrUn_CATOHO010000042v1
CATOHO010000043.1	SCAFFOLD_113		chrUn_CATOHO010000043v1
CATOHO010000044.1	SCAFFOLD_278		chrUn_CATOHO010000044v1
CATOHO010000045.1	SCAFFOLD_274		chrUn_CATOHO010000045v1
