tool	family	class_label	rescued_class	dominant_path	dominant_frac	n_copies	n_full_len	frac_full_len	cons_len	cons_completeness	cov_ge3	div_median	frac_agree_class	frac_conflictfree	frac_tandemtool	frac_support_ge2	n_gates_passed	rank_score
pantera	Unknown_239-fGobNig	Unknown	repeat:TE:ClassII:TIR:CACTA	repeat:TE:ClassII:TIR:CACTA	0.6150336174258559	2831	1110.0	0.3920876015542211	870.0	ok	1.0	2.700000047683716	0.9507439416656881	0.9959288699322134	0.03490664840382244	0.9999606326202182	6	5.991995790384559
pantera	Unknown_572-fGobNig	Unknown	repeat:TE:ClassI:LINE:Jockey	repeat:TE:ClassI:LINE:Jockey	0.9359040141734734	22991	12697.0	0.5522595798355878	264.0	len_inconsistent	1.0	8.199999809265137	0.9403683433644141	0.9134821450227475	0.008146788148425345	0.999852089202122	6	5.957551607976676
pantera	Unknown_578-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.9993252338443425	1689	762.0	0.4511545293072824	248.0	ok	1.0	9.5	0.9764013863893888	0.9717089915350263	0.011457708458308338	0.9963340665200293	6	5.830065349264015
rm2	rnd-3_family-1268	Unknown	repeat:TE:ClassII:Helitron	repeat:TE:ClassII:Helitron	0.6455789306520231	1610	1297.0	0.8055900621118013	86.0	ok	1.0	3.5999999046325684	0.6840152235965747	0.9856010149064384	0.023033618775769107	0.9630431335236282	6	5.7825562145870935
rm2	rnd-1_family-286	Unknown	repeat:TE:ClassI:LINE:Jockey	repeat:TE:ClassI:LINE:Jockey	0.916455203492759	31453	14783.0	0.47000286141226594	269.0	len_inconsistent	1.0	6.599999904632568	0.8048712220411972	0.7961378281602172	0.01050380839400926	0.9990631501361494	6	5.770771627104329
pantera	Unknown_548-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.9991080878864192	2880	659.0	0.22881944444444444	298.0	ok	1.0	13.399999618530273	0.9401309694397606	0.9348170627475726	0.022055456251015616	0.9903345144359725	6	5.693833446781342
pantera	Unknown_571-fGobNig	Unknown	repeat:TE:ClassI:LINE:Jockey	repeat:TE:ClassI:LINE:Jockey	0.8632762562747056	3992	816.0	0.20440881763527055	264.0	ok	1.0	8.0	0.8974614034662073	0.8801061050860891	0.010159238501912641	0.9992252387768801	6	5.6892576673061575
pantera	Unknown_565-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.9949420204845915	1231	478.0	0.388302193338749	270.0	ok	1.0	5.699999809265137	0.9904376527901579	0.9797721275450317	0.012307054161628821	0.998217264294981	6	5.649637676947308
rm2	rnd-1_family-608	Unknown	repeat:TE:ClassII	repeat:TE:ClassII	0.9974100609447382	8791	4855.0	0.5522693663974519	496.0	len_inconsistent	1.0	2.200000047683716	0.9843906462801271	0.9685213053508657	0.004717724106127918	0.9997767019831774	6	5.639101185875016
pantera	Unknown_498-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.9987939206060549	3195	1072.0	0.3355242566510172	355.0	ok	1.0	8.899999618530273	0.8146040735660663	0.7841747415306107	0.01752724805687064	0.9984528708169255	6	5.628973600453428
